LAB|BTCUSD|5|first=1785715200000|from=1785888000000|last=1789284600000|nD=40|uIn=4
V01|160|47|24201.6|-32012.8|4669.9|9456.8|22745198.8|0
V02|208|59|23950.3|-33971.9|6055.4|11204.6|24292988.1|1
V03|225|83|25380.8|-36029.9|6550.7|10927.1|22979696.1|1
V04|193|56|24725.8|-36057.3|5624.7|12213.3|22039206|1
V05|128|32|22500.1|-29995.2|3766.4|9743.1|21455425.4|0
V06|154|39|21233.9|-28563.5|4483.6|8749.8|29084899.5|0
V07|177|53|25415.4|-34521.8|5164.1|10554.9|28051335.5|0
V08|172|47|25279.9|-34417|5016.1|10014|27234234.2|0
V09|103|21|8487.6|-23327.5|3025.4|14839.9|19230799.2|1
V10|180|55|30892.2|-37831.2|5310.9|11011|21804650.9|1
V11|216|58|24760.9|-33045.1|6325.1|11658.2|21529722.8|1
V12|80|19|9833.5|-13193.6|2328|4300.4|8056549.5|0
V13|158|46|24226|-32342.4|4606.8|9918.2|24266268.1|1
V14|152|42|22513.6|-29088.6|4436.2|8527.7|26838396.9|0
V15|168|49|25257.5|-34774.3|4909.9|11162.5|32573837.7|0
V16|80|19|8081.3|-12938.1|2327.4|4856.8|5909117|1
V17|278|86|30925|-43700.7|8155.7|13345.5|23661677.5|1
V18|221|71|32881.7|-35250|6473.1|4946.1|24862848.8|0
V19|359|135|32486.2|-46713.7|10485.5|14984.1|21225000.5|1
V20|107|33|13460.4|-18707.9|3136.6|7176|10048216.4|1
V21|89|20|13354.2|-17559.6|2601.4|7271.9|11925476.1|2
V22|88|26|11459.7|-14862.1|2564.6|5212.8|10157013|1
V23|117|33|18247.5|-24050.9|3429.4|9058.1|35750301.7|0
V24|104|25|21360|-22201.8|3029.2|4492.6|32908545|0
V25|142|46|24105.1|-26442|4108.2|6162.3|51127338.8|0
V26|499|244|38504.3|-48508.9|14450.5|11253.8|23990413.6|2
V27|200|77|18816.3|-25376.4|5779|8163.8|12351501.3|0
V28|628|209|52749|-66128.1|18278.4|14601.2|29995079|1
V29|423|103|40089.9|-52894.4|12061.4|13545.6|33141440.3|0
V30|220|33|28073|-35810.3|6277.9|8292|51655567.7|0
V31|46|15|3044.4|-4270.7|1328|1389.5|2056572.9|0
V32|246|78|24132|-33741.6|7183.8|11198.3|19378200.7|1
LAB|BTCUSD|5|first=1779062400000|from=1779235200000|last=1782345300000|nD=36|uIn=1
V01|182|47|30162.1|-38476.6|4942.4|9073.9|29851639.8|0
V02|187|51|27254.3|-36626.4|5087|10427.9|23673497.4|0
V03|214|78|29328.1|-38973.6|5818.5|9795.8|23856247.5|0
V04|192|59|30203.9|-37584.7|5208.8|7657.6|29551373.9|0
V05|169|36|30436.2|-38531.9|4584.6|9519.7|40512448.9|0
V06|156|43|28718.9|-31882.2|4211|6127.4|28020333.3|0
V07|183|49|32056.9|-39403.2|4990.9|8330.1|28526049.8|0
V08|178|43|28932.5|-40404|4856.9|11886.1|27967925.4|0
V09|118|29|17399.1|-23879.2|3197.2|8967|17022229.2|0
V10|218|56|35750.7|-46763.1|5941.3|11680.5|39705129.8|0
V11|212|56|29509.2|-36955.6|5744.6|8334.8|31401654.7|0
V12|72|21|12024.7|-13440.8|1960.5|3837|13845197.1|0
V13|185|47|29832.3|-39184.4|5027.9|9841|30452075.1|0
V14|168|43|25757.4|-35810|4584.3|11360.1|28611589.5|0
V15|184|47|29246.1|-39556.7|4995.9|11070|26536672.7|0
