script_tf,from,to,windows,variant,label,family,trades,trades_per_month,win_pct,profit_factor,net_pts,gross_pts,cost_pts,avg_win,avg_loss,bps_per_trade,daily_sharpe,worst_window_dd,positive_windows,user_trades_caught,net_by_window_oldest_first
Crude 5m,2024-03-23,2026-09-11,11,V01,"v3.0 final (SHA+RSI3 pb, 30/70, RR2.4)",A SHA+RSI3 pullback,1965,66.3,30.1,0.945,-2587,2515,5102,74.9,-34.2,-2.03,-0.55,1552,2/11,11,-740 -299 -1420 -891 -757 -835 -556 -640 2746 1524 -720
Crude 5m,2024-03-23,2026-09-11,11,V02,v3.0 + EOD flat,A SHA+RSI3 pullback,2247,75.8,33.0,0.891,-4524,1286,5810,50.0,-27.6,-3.11,-1.267,1633,2/11,11,-512 -386 -1094 -537 -916 -862 -265 -934 1553 570 -1140
Crude 5m,2024-03-23,2026-09-11,11,V03,v3.0 RR1.5,A SHA+RSI3 pullback,2362,79.6,40.8,0.929,-3372,2739,6111,45.8,-34.0,-2.21,-0.782,1721,1/11,12,-621 -332 -1073 -779 -1058 -529 -30 -724 2015 -135 -105
Crude 5m,2024-03-23,2026-09-11,11,V04,v3.0 RR2.0,A SHA+RSI3 pullback,2091,70.5,33.7,0.898,-4923,516,5439,61.5,-34.8,-3.62,-1.144,1656,2/11,10,-586 -522 -1381 -840 -976 -700 -431 -801 1205 620 -512
Crude 5m,2024-03-23,2026-09-11,11,V05,v3.0 RR3.0,A SHA+RSI3 pullback,1811,61.1,24.8,0.897,-4832,-120,4712,94.2,-34.6,-4.1,-0.982,1827,2/11,8,-728 -243 -1584 -808 -679 -558 -271 -1061 1823 624 -1347
Crude 5m,2024-03-23,2026-09-11,11,V06,v3.0 + EMA200,A SHA+RSI3 pullback,1588,53.5,29.9,0.935,-2544,1594,4138,77.1,-35.2,-2.46,-0.579,1312,2/11,7,-1141 -127 -1009 -600 -578 -481 -260 -716 687 2478 -798
Crude 5m,2024-03-23,2026-09-11,11,V07,v3.0 trig RSI>50,A SHA+RSI3 pullback,2185,73.7,29.6,0.889,-5953,-269,5684,73.5,-34.7,-4.19,-1.235,1665,2/11,11,-1105 -374 -1634 -1023 -492 -1026 -1063 -460 2062 376 -1214
Crude 5m,2024-03-23,2026-09-11,11,V08,v3.0 trig high-break,A SHA+RSI3 pullback,2087,70.4,29.9,0.91,-4697,748,5445,75.8,-35.5,-3.45,-0.934,1723,2/11,10,-665 -630 -1683 -824 -513 -585 -716 -683 1503 1268 -1169
Crude 5m,2024-03-23,2026-09-11,11,V09,v3.0 RSI 20/80,A SHA+RSI3 pullback,1196,40.3,29.6,0.907,-2680,427,3107,73.9,-34.2,-3.45,-0.715,1257,2/11,5,-448 -106 -979 -764 -254 -765 -197 -771 186 1943 -526
Crude 5m,2024-03-23,2026-09-11,11,V10,v3.0 RSI 40/60,A SHA+RSI3 pullback,2267,76.4,29.8,0.932,-3813,2088,5901,77.9,-35.4,-2.58,-0.706,2381,3/11,10,-596 -143 -2250 -891 -1036 -1003 -791 -695 1777 1707 108
Crude 5m,2024-03-23,2026-09-11,11,V11,v3.0 minSL 1.2,A SHA+RSI3 pullback,2174,73.3,30.6,0.91,-4022,1620,5641,61.3,-29.7,-2.85,-0.904,1195,3/11,12,-895 248 -933 -803 -746 -771 -277 -669 -5 749 80
Crude 5m,2024-03-23,2026-09-11,11,V12,v3.0 max 2/day,A SHA+RSI3 pullback,1227,41.4,29.6,0.906,-2282,896,3178,60.4,-28.0,-2.87,-0.655,1733,3/11,5,-449 119 92 -472 -475 -297 -338 -537 1380 -528 -778
Crude 5m,2024-03-23,2026-09-11,11,V13,v3.0 no SHA-age,A SHA+RSI3 pullback,1999,67.4,30.3,0.966,-1628,3551,5179,76.1,-34.2,-1.26,-0.336,1511,2/11,11,-798 -194 -1144 -941 -596 -880 -632 -693 2931 1906 -588
Crude 5m,2024-03-23,2026-09-11,11,V14,v3.0 pullback win 6,A SHA+RSI3 pullback,1889,63.7,29.9,0.936,-2869,2044,4912,74.1,-33.7,-2.34,-0.601,1460,2/11,7,-742 -381 -1300 -965 -990 -870 -464 -605 2680 1553 -784
Crude 5m,2024-03-23,2026-09-11,11,V15,v3.0 no EMA9/22,A SHA+RSI3 pullback,2014,67.9,30.2,0.962,-1789,3435,5224,75.5,-33.9,-1.37,-0.372,1577,2/11,11,-712 -349 -1459 -772 -825 -651 -579 -753 2710 1858 -258
Crude 5m,2024-03-23,2026-09-11,11,V16,v3.0 EOD+2/day+RR2,A SHA+RSI3 pullback,1253,42.3,34.2,0.909,-1990,1252,3242,46.6,-26.6,-2.46,-0.742,1255,3/11,5,-186 186 57 -330 -302 -365 -216 -728 928 -411 -623
Crude 5m,2024-03-23,2026-09-11,11,V17,EMA-touch pb RR2 (crude v1 idea),B EMA-touch,2792,94.1,34.7,0.961,-2240,4995,7234,56.3,-31.2,-1.24,-0.486,2605,5/11,12,-803 296 -1636 -458 96 126 -1130 -1030 623 -34 1711
Crude 5m,2024-03-23,2026-09-11,11,V18,EMA-touch +SHA RR2.4,B EMA-touch,2277,76.8,29.9,0.953,-2441,3453,5894,72.2,-32.3,-1.66,-0.496,2054,2/11,10,-772 -432 -2000 -18 -296 -317 -1000 -195 -489 1835 1243
Crude 5m,2024-03-23,2026-09-11,11,V19,EMA-touch RR1.5 EOD,B EMA-touch,3456,116.5,40.8,0.905,-5031,3918,8948,34.0,-25.8,-2.25,-1.414,2167,1/11,12,-592 -236 -1475 -480 -303 -228 -1145 -679 1076 -662 -306
Crude 5m,2024-03-23,2026-09-11,11,V20,SHA flip RR2,C SHA flip,912,30.8,33.8,0.994,-142,2212,2353,71.7,-36.8,-0.24,-0.042,1953,5/11,4,-28 138 -1022 -242 593 -692 -426 -532 849 1212 9
Crude 5m,2024-03-23,2026-09-11,11,V21,SHA flip RR3,C SHA flip,838,28.3,28.2,1.099,2240,4401,2161,105.4,-37.6,4.15,0.527,2106,6/11,4,281 621 -1295 -129 1248 -460 -376 -408 1216 1215 327
Crude 5m,2024-03-23,2026-09-11,11,V22,SHA flip +EMA200 RR2,C SHA flip,700,23.6,33.3,0.979,-350,1457,1807,71.5,-36.4,-0.77,-0.114,1622,5/11,4,30 53 -341 -302 199 -299 -357 -610 -580 1404 453
Crude 5m,2024-03-23,2026-09-11,11,V23,Donchian20 +SHA RR2,D Breakout,1187,40.0,33.8,0.948,-1597,1494,3091,72.7,-39.1,-2.07,-0.382,1766,3/11,5,-167 335 -841 -698 -865 -523 -924 -591 1089 -59 1646
Crude 5m,2024-03-23,2026-09-11,11,V24,Donchian20 +SHA RR3,D Breakout,1087,36.7,26.3,0.982,-574,2249,2823,110.1,-40.0,-0.81,-0.114,1914,4/11,5,-110 552 -279 -506 -658 -298 -917 -516 777 30 1352
Crude 5m,2024-03-23,2026-09-11,11,V25,Donchian10 +SHA RR2,D Breakout,1520,51.3,33.9,0.942,-2318,1650,3968,72.3,-39.5,-2.34,-0.467,1752,4/11,8,-301 300 -1432 -570 -593 -680 -876 -946 621 1416 743
Crude 5m,2024-03-23,2026-09-11,11,V26,RSI3 snap-back 10/90 RR1,E RSI3 snap-back,4940,166.6,47.8,0.762,-15848,-3005,12843,21.5,-25.8,-4.94,-4.086,3788,1/11,2,-1350 -1618 -1666 -1009 -1262 -1681 -527 -1131 43 -1974 -3673
Crude 5m,2024-03-23,2026-09-11,11,V27,RSI3 snap-back 5/95 RR1.5,E RSI3 snap-back,1910,64.4,37.2,0.786,-6855,-1890,4965,35.3,-26.7,-5.52,-2.478,1429,1/11,0,-522 -1223 -1089 -713 -441 -358 25 -740 -706 -219 -869
Crude 5m,2024-03-23,2026-09-11,11,V28,Sweep-fade RR2 (BN v13 idea),F Sweep-fade,6449,217.5,33.3,0.818,-15204,1636,16840,31.9,-19.5,-3.61,-3.268,3320,0/11,2,-1453 -2147 -1056 -1135 -485 -931 -789 -328 -1885 -2960 -2036
Crude 5m,2024-03-23,2026-09-11,11,V29,Sweep-fade RR3,F Sweep-fade,5707,192.4,25.1,0.799,-17190,-2294,14896,47.8,-20.1,-4.62,-3.111,4590,1/11,0,-1055 -2243 -686 -988 -653 -1112 -241 312 -3878 -3574 -3072
Crude 5m,2024-03-23,2026-09-11,11,V30,Sweep-fade RR6,F Sweep-fade,3868,130.4,15.1,0.845,-10613,-460,10154,98.7,-20.8,-4.18,-1.755,5011,4/11,1,-977 -1685 1157 -677 20 384 -677 62 -4617 -2342 -1262
Crude 5m,2024-03-23,2026-09-11,11,V31,Sweep with-trend (SHA) RR2,F Sweep-fade,394,13.3,34.0,0.824,-950,84,1034,33.2,-20.8,-3.67,-0.757,762,3/11,1,-8 147 -250 -217 -101 -230 -219 162 410 -604 -42
Crude 5m,2024-03-23,2026-09-11,11,V32,v3.0-lite EOD minSL1.5 RR2,A SHA+RSI3 pullback,2465,83.1,35.9,0.862,-5559,822,6381,39.1,-25.4,-3.48,-1.677,1324,1/11,13,-659 -226 -569 -506 -917 -848 -244 -895 193 -377 -512
Crude 3m,2025-03-05,2026-09-11,11,V01,"v3.0 final (SHA+RSI3 pb, 30/70, RR2.4)",A SHA+RSI3 pullback,2072,113.5,31.0,0.983,-723,4719,5442,66.9,-30.6,-0.53,-0.217,1216,4/11,10,-814 380 -264 -462 -670 -519 -877 1695 332 -97 572
Crude 3m,2025-03-05,2026-09-11,11,V02,v3.0 + EOD flat,A SHA+RSI3 pullback,2155,118.0,32.9,0.936,-2466,3168,5634,50.8,-26.6,-1.75,-0.913,1225,2/11,9,-246 -369 -388 -329 -715 -623 -276 929 166 -561 -53
