LossLimit,ADX_Min,R_Multiple,Skip_Open_Min,Total_Trades,Win_Rate,Profit_Factor,Max_DD,Net_PnL
250,30,3.0,45,734,26.57,0.97,20564.76,-6028.3
500,30,3.0,45,736,26.49,0.96,21026.73,-7164.54
250,25,1.5,45,1388,39.34,0.97,25754.01,-7722.43
250,25,2.5,30,1310,28.93,0.97,31819.13,-8069.59
350,20,2.5,15,2009,29.02,0.98,28322.63,-8879.91
350,25,2.0,45,1290,32.95,0.97,27160.39,-9309.97
350,20,3.0,15,1877,26.05,0.98,33911.44,-10580.6
350,25,2.5,30,1315,28.82,0.96,34644.56,-10895.03
0,30,2.0,30,893,33.48,0.94,31496.67,-11106.52
500,25,2.5,30,1316,28.8,0.96,35071.3,-11321.77
0,25,2.5,30,1316,28.8,0.96,35071.3,-11321.77
500,25,1.5,15,1620,38.89,0.95,30584.96,-17165.17
500,20,3.0,30,1859,25.71,0.95,38958.91,-21726.39
500,20,2.5,30,1957,28.51,0.94,41301.07,-24845.94
250,20,2.0,15,2126,32.5,0.94,41538.99,-29892.38
0,20,2.0,15,2198,32.35,0.93,46692.78,-35046.16
350,15,2.0,15,2920,32.74,0.95,46610.33,-35075.04
500,15,2.0,15,2944,32.74,0.95,47393.71,-35646.31
250,15,2.0,15,2805,32.66,0.94,47939.24,-35700.97
0,15,2.0,15,2948,32.73,0.94,48137.44,-36390.05
