LAB|XAUUSD|5|first=1784498400000|from=1784678400000|last=1789160100000|nD=37|uIn=4
V01|159|48|1240.2|-1405.3|275.5|267.3|48432.5|0
V02|185|61|1133.4|-1428.3|319.9|326.7|43296.7|0
V03|193|77|1141.8|-1421.2|334.4|302.5|36910.3|0
V04|163|54|1136.6|-1380.1|282.5|284.7|46252.1|0
V05|145|39|1289.9|-1337.7|251.1|243.6|52064.9|0
V06|132|40|1057.2|-1144.2|228.7|214.2|33056.2|0
V07|168|48|1208.5|-1529.4|290.9|408.7|43559.8|0
V08|167|43|1149.8|-1568.9|289.9|465.2|64881.7|1
V09|101|35|762.8|-817.4|175.2|170.4|31569.5|0
V10|167|55|1472|-1480.1|289.1|222.5|51020.4|1
V11|179|59|1241.4|-1293.8|310|142.1|38495.5|0
V12|75|21|427.7|-609.8|130|185|13615|0
V13|159|51|1315.8|-1383.4|275.2|235.4|44580.3|0
V14|147|43|1062.8|-1341.3|254.9|325.3|54542.2|0
V15|160|48|1246.4|-1416|277.4|263.8|48141.5|0
V16|75|22|367.6|-598.3|130|230.7|11442.4|0
V17|252|84|1605.7|-1904.8|436.3|337.3|61418.5|1
V18|200|60|1509.6|-1632.6|345.8|295.5|58454|1
V19|328|122|1406.5|-2155.3|568.1|756.5|63449.8|1
V20|102|41|886.3|-756.1|177.1|124.2|29311.9|0
V21|88|26|864.6|-783.8|152.3|127.7|42609.5|0
V22|86|35|751.2|-656|149.4|108.2|25438|0
V23|134|50|1093.5|-1141.6|231.2|204.7|43626.3|0
V24|104|34|1232.1|-954.6|178.7|250.1|73208.9|0
V25|148|53|1262.7|-1323.1|254.8|269.4|46969.3|1
V26|510|254|1517.2|-2437.8|884.6|940.8|51282.3|1
V27|197|77|823.2|-1149.2|341.9|397.9|25928.6|1
V28|767|256|2293.3|-3706.3|1329.8|1430.4|106689.8|0
V29|588|151|2321.8|-3322.4|1016.8|1048.5|77779.6|0
V30|296|45|1502.3|-2086.5|514.1|665.3|126444|0
V31|59|19|153.7|-302.5|101.9|153.6|4341.6|0
V32|210|72|1022|-1438.3|363.5|428|35743.3|0
LAB|XAUUSD|5|first=1777845600000|from=1778025600000|last=1782345300000|nD=36|uIn=4
V01|150|47|1510.3|-1417.1|265.5|198.7|88809.1|0
V02|171|55|1413.8|-1451.4|303|267|67399.9|0
V03|190|79|1413.7|-1481.1|336.5|384.7|67828.2|0
V04|175|57|1427.1|-1595.7|310|342.7|75051.8|0
V05|132|37|1535.1|-1295.4|234.6|296.3|123833.5|0
V06|128|41|1305|-1229.2|227.1|215.9|79647.5|0
V07|176|54|1696.2|-1627.5|312.7|223.3|113513.2|0
V08|168|52|1592.5|-1643.8|298.5|412.3|107565|0
V09|97|31|943.7|-875.8|172|166.3|48964|0
V10|172|53|1687.4|-1705.8|305.3|213.1|75463.4|0
V11|182|57|1379.2|-1425.7|322.6|353.9|71554.2|0
V12|71|23|609.2|-606.6|126.2|129.1|21922.4|0
V13|153|47|1513.3|-1468.2|271|246.7|93901.5|0
V14|138|46|1412.7|-1228.6|244.3|139.8|86381.7|0
V15|150|47|1513.2|-1426.8|265.5|188.9|75498.6|0
V16|71|26|516.5|-534|126.3|192.5|16756.7|0
V17|263|83|1783.1|-2393.2|469|839.7|112694.7|1
V18|206|64|1728.1|-1949.5|366.6|544.6|118809.3|1
V19|326|122|1723|-2549.2|581|990.3|102500|1
V20|103|28|724.7|-1023.4|183.7|465.6|48424.9|1
V21|93|21|764.4|-989.8|165.6|405.1|77023|0
V22|82|21|558.2|-831.6|146.2|402.9|41212.6|1
V23|124|38|1138.1|-1326.7|220.2|411.8|73560.2|0
V24|87|23|1169.1|-1017|155|325.8|97821|0
V25|140|42|1282.5|-1472.7|248.6|322.1|77820|0
V26|463|218|1576.6|-2744|820.8|1225.1|93377|2
V27|161|63|865.4|-1153.5|284.2|345.6|33627.9|1
